Date,Name,Open,High,Low,Close,Change,%
2023-11-10,BTC,"36,556","37,458","36,360",37259.0,244.0,0.65
2023-11-09,BTC,"35,628","37,960","35,413",36556.0,-703.0,-1.92
2023-11-08,BTC,"35,683","35,761","35,146",35629.0,-927.0,-2.6
2023-11-07,BTC,"35,027","35,894","34,546",35685.0,56.0,0.16
2023-11-06,BTC,"35,040","35,371","34,570",35027.0,-658.0,-1.88
2023-11-05,BTC,"34,758","35,327","34,742",35040.0,13.0,0.04
2023-11-04,BTC,"34,546","34,952","34,512",34758.0,-282.0,-0.81
2023-11-03,BTC,"34,997","35,104","34,126",34546.0,-212.0,-0.61
2023-11-02,BTC,"34,567","35,939","34,337",34996.0,450.0,1.29
2023-11-01,BTC,"34,545","35,184","34,142",34567.0,-429.0,-1.24
2023-10-31,BTC,"34,447","34,610","34,067",34545.0,-22.0,-0.06
2023-10-30,BTC,"34,580","34,842","34,110",34447.0,-98.0,-0.28
2023-10-29,BTC,"34,124","34,748","33,954",34580.0,133.0,0.38
2023-10-28,BTC,"33,688","34,445","33,688",34124.0,-456.0,-1.34
2023-10-27,BTC,"34,064","34,283","33,415",33688.0,-436.0,-1.29
2023-10-26,BTC,"34,773","34,842","33,752",34066.0,378.0,1.11
2023-10-25,BTC,"33,810","35,124","33,497",34774.0,708.0,2.04
2023-10-24,BTC,"31,392","35,145","31,350",33811.0,-963.0,-2.85
2023-10-23,BTC,"29,855","31,438","29,735",31393.0,-2418.0,-7.7
2023-10-22,BTC,"30,173","30,214","29,712",29855.0,-1538.0,-5.15
2023-10-21,BTC,"29,578","30,313","29,484",30173.0,318.0,1.05
2023-10-20,BTC,"28,765","30,188","28,601",29578.0,-595.0,-2.01
2023-10-19,BTC,"28,262","28,893","28,167",28765.0,-813.0,-2.83
2023-10-18,BTC,"28,521","28,964","28,168",28262.0,-503.0,-1.78
2023-10-17,BTC,"28,465","28,635","28,108",28521.0,259.0,0.91
2023-10-16,BTC,"27,043","29,977","27,021",28465.0,-56.0,-0.2
2023-10-15,BTC,"26,869","27,078","26,813",27043.0,-1422.0,-5.26
2023-10-14,BTC,"26,771","27,104","26,744",26869.0,-174.0,-0.65
2023-10-13,BTC,"26,706","26,933","26,678",26770.0,-99.0,-0.37
2023-10-12,BTC,"26,759","26,930","26,554",26706.0,-64.0,-0.24
2023-10-11,BTC,"27,400","27,472","26,541",26759.0,53.0,0.2
2023-10-10,BTC,"27,614","27,727","27,298",27400.0,641.0,2.34
